GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
market-rest,market,RestApplication,5,3,0,0,2,1,1,1,1,1
market-rest,market,RestConfig,0,15,0,0,0,6,0,2,0,2
market-rest,market,RestSecurityConfig,0,39,0,0,0,10,0,2,0,2
market-rest,market.rest.exception,RestErrorResponse,18,47,0,0,4,13,2,7,2,7
market-rest,market.rest.exception,RestExceptionHandler,141,23,6,0,35,7,10,3,7,3
market-rest,market.rest,ProductsRestController,6,83,0,0,0,17,1,5,1,5
market-rest,market.rest,OrdersRestController,43,11,0,0,7,4,3,1,3,1
market-rest,market.rest,CartRestController,143,24,2,0,24,7,8,1,7,1
market-rest,market.rest,CustomerRestController,54,14,0,0,10,5,3,1,3,1
market-rest,market.rest,ContactsRestController,42,11,0,0,9,4,3,1,3,1
